INFO: Starting fine-tuning sweep for umap (120 combinations)
INFO: Evaluating combination 1/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.0}
INFO: Evaluating combination 2/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.01}
INFO: Evaluating combination 3/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.05}
INFO: Evaluating combination 4/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1}
INFO: Evaluating combination 5/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.5}
INFO: Evaluating combination 6/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 1.0}
INFO: Evaluating combination 7/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.0}
INFO: Evaluating combination 8/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.01}
INFO: Evaluating combination 9/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.05}
INFO: Evaluating combination 10/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.1}
INFO: Evaluating combination 11/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 0.5}
INFO: Evaluating combination 12/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 15, 'min_dist': 1.0}
INFO: Evaluating combination 13/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.0}
INFO: Evaluating combination 14/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.01}
INFO: Evaluating combination 15/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.05}
INFO: Evaluating combination 16/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.1}
INFO: Evaluating combination 17/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 0.5}
INFO: Evaluating combination 18/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 30, 'min_dist': 1.0}
INFO: Evaluating combination 19/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.0}
INFO: Evaluating combination 20/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.01}
INFO: Evaluating combination 21/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.05}
INFO: Evaluating combination 22/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.1}
INFO: Evaluating combination 23/120: {'metric': 'dice', 'n_components': 2, 'n_neighbors': 50, 'min_dist': 0.5}
